pmppp_1mM,,pmppp_500uM,,pmppp_250uM,,pmppp_125uM,,pmppp_62uM,,pmppp_31uM,,pmppp_15uM,,pmppp_7uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
788.9921875,-0.0006937590078,788.9921875,-0.000508206489,788.9921875,-0.001129901037,788.9921875,-0.001383573166,788.9921875,-0.001608471037,788.9921875,-0.000759141054,788.9921875,-0.0007942830562,788.9921875,-0.001353794825,
788.4342041,-0.001023669844,788.4342041,-0.001404473674,788.4342041,-0.002248062752,788.4342041,-0.001588508836,788.4342041,-0.001618477516,788.4342041,-0.002364808228,788.4342041,-0.001642616,788.4342041,-0.002210668754,
788.015686,-0.001344091841,788.015686,-0.001475991914,788.015686,-0.002189549617,788.015686,-0.001741734683,788.015686,-0.001940522809,788.015686,-0.001936347922,788.015686,-0.001759885112,788.015686,-0.002266758587,
787.4574585,-0.001639882452,787.4574585,-0.001766794478,787.4574585,-0.001375109539,787.4574585,-0.001932997722,787.4574585,-0.001977630891,787.4574585,-0.002317073522,787.4574585,-0.002018703613,787.4574585,-0.002093572868,
787.0387573,-0.001521652332,787.0387573,-0.001335214474,787.0387573,-0.001865678583,787.0387573,-0.001388321049,787.0387573,-0.001913772081,787.0387573,-0.002048591152,787.0387573,-0.002044571796,787.0387573,-0.002041531727,
786.4804077,-0.0007327310159,786.4804077,-0.001334956381,786.4804077,-0.001643338124,786.4804077,-0.001700945082,786.4804077,-0.001516647986,786.4804077,-0.001635137363,786.4804077,-0.001664329204,786.4804077,-0.001212977688,
786.0615234,-0.0009649397689,786.0615234,-0.001103152055,786.0615234,-0.00142934639,786.0615234,-0.001433164929,786.0615234,-0.001278642914,786.0615234,-0.00189500954,786.0615234,-0.001530113048,786.0615234,-0.002031792421,
785.5029297,-0.001255774754,785.5029297,-0.001431668526,785.5029297,-0.001444259076,785.5029297,-0.001421451219,785.5029297,-0.00189392711,785.5029297,-0.001742405002,785.5029297,-0.001745963003,785.5029297,-0.001564161037,
784.9441528,-0.001718839398,784.9441528,-0.001802215935,784.9441528,-0.001760864747,784.9441528,-0.001291805762,784.9441528,-0.001604705583,784.9441528,-0.002116499934,784.9441528,-0.001409582444,784.9441528,-0.001680987189,
784.5250854,-0.001516802702,784.5250854,-0.001526037464,784.5250854,-0.002183316741,784.5250854,-0.001104907831,784.5250854,-0.001529390807,784.5250854,-0.001170899253,784.5250854,-0.001147199189,784.5250854,-0.001883308403,
783.9661255,-0.001371393679,783.9661255,-0.00172801828,783.9661255,-0.002129740547,783.9661255,-0.001648908248,783.9661255,-0.00204292289,783.9661255,-0.001358336536,783.9661255,-0.001829901477,783.9661255,-0.001798555255,
783.546814,-0.001869390137,783.546814,-0.001014527748,783.546814,-0.001468665199,783.546814,-0.001398229389,783.546814,-0.001639934024,783.546814,-0.001616775407,783.546814,-0.001567514148,783.546814,-0.001389869256,
782.9876709,-0.001330259605,782.9876709,-0.001581338816,782.9876709,-0.001940213493,782.9876709,-0.001950985519,782.9876709,-0.002141177654,782.9876709,-0.001669692807,782.9876709,-0.00190207141,782.9876709,-0.002080125269,
782.5682373,-0.002030298114,782.5682373,-0.001970879501,782.5682373,-0.001746478607,782.5682373,-0.001747613074,782.5682373,-0.001265169936,782.5682373,-0.001523819054,782.5682373,-0.001848666812,782.5682373,-0.001668403507,
782.0089111,-0.001546724699,782.0089111,-0.001675984706,782.0089111,-0.001214887947,782.0089111,-0.001904700184,782.0089111,-0.001759524224,782.0089111,-0.002089708811,782.0089111,-0.001401016139,782.0089111,-0.001703729853,
781.4494019,-0.001600372838,781.4494019,-0.001656799344,781.4494019,-0.001873307978,781.4494019,-0.002241161186,781.4494019,-0.002069201786,781.4494019,-0.001585052814,781.4494019,-0.001887380611,781.4494019,-0.001855316921,
781.0297241,-0.001681760768,781.0297241,-0.001854028204,781.0297241,-0.002077652141,781.0297241,-0.00166334922,781.0297241,-0.001877431874,781.0297241,-0.002287565032,781.0297241,-0.001752202166,781.0297241,-0.001829746761,
780.4700317,-0.001400964451,780.4700317,-0.001569525921,780.4700317,-0.001366955345,780.4700317,-0.001895885915,780.4700317,-0.00225187419,780.4700317,-0.001873823465,780.4700317,-0.001701615518,780.4700317,-0.001709041419,
780.0501709,-0.001747045782,780.0501709,-0.001813713112,780.0501709,-0.001784582855,780.0501709,-0.002176722977,780.0501709,-0.002450377448,780.0501709,-0.001669486519,780.0501709,-0.002061885083,780.0501709,-0.001490748255,
779.4902954,-0.001492554089,779.4902954,-0.001591449138,779.4902954,-0.00243029953,779.4902954,-0.002252646722,779.4902954,-0.002123403596,779.4902954,-0.002161732409,779.4902954,-0.001595059875,779.4902954,-0.002268252196,
778.9302368,-0.00180778408,778.9302368,-0.001604602439,778.9302368,-0.0016473094,778.9302368,-0.002275462495,778.9302368,-0.002145298989,778.9302368,-0.0019571702,778.9302368,-0.002119230572,778.9302368,-0.001720283297,
778.5101929,-0.001765711582,778.5101929,-0.002439051634,778.5101929,-0.001652054372,778.5101929,-0.001797111705,778.5101929,-0.001924080891,778.5101929,-0.002494185232,778.5101929,-0.002179350238,778.5101929,-0.001527430373,
777.9499512,-0.001704915892,777.9499512,-0.002155911177,777.9499512,-0.002172086854,777.9499512,-0.002578185173,777.9499512,-0.002402806655,777.9499512,-0.002378813457,777.9499512,-0.001877534902,777.9499512,-0.002154056681,
777.5296631,-0.001927585807,777.5296631,-0.001968199387,777.5296631,-0.002147308085,777.5296631,-0.001981083769,777.5296631,-0.002017982071,777.5296631,-0.001698572887,777.5296631,-0.002308834111,777.5296631,-0.002134068171,
776.9692383,-0.001980413683,776.9692383,-0.001625182806,776.9692383,-0.002423555125,776.9692383,-0.002312181285,776.9692383,-0.00243282225,776.9692383,-0.002106144326,776.9692383,-0.001988814212,776.9692383,-0.001963045681,
776.5488281,-0.001990875462,776.5488281,-0.00259619765,776.5488281,-0.00214947178,776.5488281,-0.002013292629,776.5488281,-0.00253500347,776.5488281,-0.002229314763,776.5488281,-0.002608960262,776.5488281,-0.001944852178,
775.9881592,-0.002192331245,775.9881592,-0.001906968188,775.9881592,-0.002098570578,775.9881592,-0.002332213335,775.9881592,-0.002659955993,775.9881592,-0.002511892468,775.9881592,-0.002205208875,775.9881592,-0.001417013467,
775.567627,-0.002315940568,775.567627,-0.002046169247,775.567627,-0.003077267902,775.567627,-0.002592698205,775.567627,-0.00165478792,775.567627,-0.001968199387,775.567627,-0.002368309535,775.567627,-0.000821257825,
775.0067749,-0.002386124805,775.0067749,-0.002696848242,775.0067749,-0.002268664306,775.0067749,-0.002330874326,775.0067749,-0.002359041246,775.0067749,-0.002942973748,775.0067749,-0.002357187448,775.0067749,-0.001431049313,
774.4458008,-0.002558370354,774.4458008,-0.002092130249,774.4458008,-0.002158796182,774.4458008,-0.002323459135,774.4458008,-0.002589816228,774.4458008,-0.002643181244,774.4458008,-0.002268252196,774.4458008,-0.0005466263392,
774.0249634,-0.001988968812,774.0249634,-0.002538091503,774.0249634,-0.002049106406,774.0249634,-0.002677399199,774.0249634,-0.002478176029,774.0249634,-0.002931557829,774.0249634,-0.002151120221,774.0249634,-0.0005346302059,
773.4638062,-0.002353634452,773.4638062,-0.002916490426,773.4638062,-0.002969095483,773.4638062,-0.002632117597,773.4638062,-0.002968015615,773.4638062,-0.002495986875,773.4638062,-0.003261161037,773.4638062,-0.0008446138818,
773.0427856,-0.002074663527,773.0427856,-0.002600314561,773.0427856,-0.002981076017,773.0427856,-0.002784409793,773.0427856,-0.00266952673,773.0427856,-0.002683110535,773.0427856,-0.002967398614,773.0427856,-0.00101788505,
772.4814453,-0.002845877549,772.4814453,-0.002926415298,772.4814453,-0.00268696947,772.4814453,-0.002717788564,772.4814453,-0.002310121432,772.4814453,-0.002567171352,772.4814453,-0.002601652639,772.4814453,-0.0004190986219,
772.0603027,-0.002836876549,772.0603027,-0.002724734135,772.0603027,-0.002783689648,772.0603027,-0.002542312024,772.0603027,-0.002482912038,772.0603027,-0.002510296879,772.0603027,-0.002913507633,772.0603027,-0.0005571226939,
771.4986572,-0.002634021454,771.4986572,-0.003122657537,771.4986572,-0.002961022547,771.4986572,-0.002783586737,771.4986572,-0.002963901963,771.4986572,-0.002152253641,771.4986572,-0.002942973748,771.4986572,-0.0001539424557,
770.9369507,-0.00302585843,770.9369507,-0.002860124456,770.9369507,-0.003270307556,770.9369507,-0.002807249082,770.9369507,-0.002685734536,770.9369507,-0.00293196924,770.9369507,-0.002768874401,770.9369507,6.989217241E-7,
770.515564,-0.003187160939,770.515564,-0.00297418586,770.515564,-0.002730856417,770.515564,-0.003553184448,770.515564,-0.003037837567,770.515564,-0.0032430219,770.515564,-0.002878073836,770.515564,2.122701335E-5,
769.9536743,-0.003058504313,769.9536743,-0.003059429582,769.9536743,-0.003108264878,769.9536743,-0.003277758136,769.9536743,-0.002835693536,769.9536743,-0.003235622309,769.9536743,-0.002915564692,769.9536743,-0.0001537354401,
769.5321045,-0.003168556141,769.5321045,-0.003081431845,769.5321045,-0.003191323718,769.5321045,-0.003238448408,769.5321045,-0.0032735446,769.5321045,-0.003335148562,769.5321045,-0.003136792453,769.5321045,0.0004297384294,
768.9699707,-0.003472249256,768.9699707,-0.003191066906,768.9699707,-0.003096133703,768.9699707,-0.003054442815,768.9699707,-0.003028686158,768.9699707,-0.002842945745,768.9699707,-0.003057938768,768.9699707,0.000409268745,
768.5483398,-0.002450274536,768.5483398,-0.003182021668,768.5483398,-0.003458484542,768.5483398,-0.003007812425,768.5483398,-0.0033917611,768.5483398,-0.002976088319,768.5483398,-0.00278276368,768.5483398,0.0006300553214,
767.9859619,-0.002708527725,767.9859619,-0.003414774081,767.9859619,-0.002968221204,767.9859619,-0.003616083879,767.9859619,-0.003157814266,767.9859619,-0.003456789767,767.9859619,-0.003395973472,767.9859619,0.0007599258097,
767.5641479,-0.003346554004,767.5641479,-0.003276113886,767.5641479,-0.003466342809,767.5641479,-0.003102302086,767.5641479,-0.00305007305,767.5641479,-0.003291682573,767.5641479,-0.002925181296,767.5641479,0.001113150036,
767.0015869,-0.003359448863,767.0015869,-0.003434755141,767.0015869,-0.003272260074,767.0015869,-0.003164238995,767.0015869,-0.00335795898,767.0015869,-0.003489505732,767.0015869,-0.003619215684,767.0015869,0.001049363753,
766.4389038,-0.003172719153,766.4389038,-0.003391401609,766.4389038,-0.003845165716,766.4389038,-0.003163313726,766.4389038,-0.0031814049,766.4389038,-0.003892322071,766.4389038,-0.003691191552,766.4389038,0.0009073443362,
766.0168457,-0.003517751582,766.0168457,-0.003170509124,766.0168457,-0.003397565801,766.0168457,-0.003386367345,766.0168457,-0.003357291222,766.0168457,-0.003571516136,766.0168457,-0.003088782774,766.0168457,0.001199943596,
765.4539185,-0.003165832255,765.4539185,-0.003477128455,765.4539185,-0.003733078018,765.4539185,-0.003531206166,765.4539185,-0.003146249801,765.4539185,-0.00350167742,765.4539185,-0.003340594471,765.4539185,0.001342889504,
765.0316772,-0.003578345291,765.0316772,-0.003401983529,765.0316772,-0.003609973937,765.0316772,-0.003438966814,765.0316772,-0.003707361408,765.0316772,-0.003641189774,765.0316772,-0.003561194986,765.0316772,0.001398356748,
764.4686279,-0.00346007687,764.4686279,-0.003551541362,764.4686279,-0.003655205248,764.4686279,-0.003519805614,764.4686279,-0.003671170911,764.4686279,-0.003512667492,764.4686279,-0.003493665718,764.4686279,0.001298905117,
764.0462036,-0.003599653952,764.0462036,-0.003069094382,764.0462036,-0.00389565737,764.0462036,-0.00353161688,764.0462036,-0.003651970997,764.0462036,-0.003852144582,764.0462036,-0.003628251841,764.0462036,0.001728423988,
763.4829102,-0.003486270318,763.4829102,-0.003257872537,763.4829102,-0.00389109063,763.4829102,-0.003742060391,763.4829102,-0.003627070924,763.4829102,-0.003288856475,763.4829102,-0.003805702319,763.4829102,0.001298775314,
763.0603638,-0.003645656165,763.0603638,-0.003854966955,763.0603638,-0.003803597996,763.0603638,-0.003473430639,763.0603638,-0.003681130009,763.0603638,-0.004095308483,763.0603638,-0.003594313981,763.0603638,0.001172507182,
762.4968872,-0.003668039571,762.4968872,-0.003758023027,762.4968872,-0.004003445618,762.4968872,-0.004269082099,762.4968872,-0.003806625959,762.4968872,-0.003923927899,762.4968872,-0.004008010961,762.4968872,0.001419626293,
761.9332886,-0.003429926932,761.9332886,-0.00397702679,761.9332886,-0.003829411464,761.9332886,-0.003975077532,761.9332886,-0.003769827774,761.9332886,-0.004427771084,761.9332886,-0.003963431809,761.9332886,0.001715065795,
761.510498,-0.00400565099,761.510498,-0.003939268179,761.510498,-0.004305427894,761.510498,-0.004126284271,761.510498,-0.004135258496,761.510498,-0.003945989069,761.510498,-0.004171615466,761.510498,0.001487259287,
760.9466553,-0.003543838626,760.9466553,-0.004127771128,760.9466553,-0.00394142326,760.9466553,-0.004065869376,760.9466553,-0.004436124116,760.9466553,-0.004081050865,760.9466553,-0.004079255741,760.9466553,0.001680840389,
760.5237427,-0.003643243341,760.5237427,-0.003869950306,760.5237427,-0.003883034922,760.5237427,-0.00422324799,760.5237427,-0.003917719703,760.5237427,-0.004188587889,760.5237427,-0.00399015937,760.5237427,0.001913376502,
759.9597168,-0.003896940034,759.9597168,-0.004413165618,759.9597168,-0.00425190758,759.9597168,-0.004392050672,759.9597168,-0.004088230897,759.9597168,-0.0043938444,759.9597168,-0.003898428055,759.9597168,0.001253133873,
759.5366211,-0.003958096728,759.5366211,-0.004464872181,759.5366211,-0.004370524548,759.5366211,-0.004393485375,759.5366211,-0.004568369593,759.5366211,-0.004793006927,759.5366211,-0.004024476744,759.5366211,0.001259572222,
758.9723511,-0.004249908496,758.9723511,-0.004230887629,758.9723511,-0.004270466045,758.9723511,-0.004392460454,758.9723511,-0.004367398098,758.9723511,-0.004165256862,758.9723511,-0.004894839134,758.9723511,0.001323882723,
758.5491333,-0.00419561239,758.5491333,-0.004369960632,758.5491333,-0.004447039217,758.5491333,-0.004711739253,758.5491333,-0.004267184995,758.5491333,-0.004760542419,758.5491333,-0.00474400213,758.5491333,0.001005927916,
757.9846802,-0.004514420871,757.9846802,-0.004876563326,757.9846802,-0.004802376963,757.9846802,-0.004789473955,757.9846802,-0.004832790699,757.9846802,-0.004583430942,757.9846802,-0.004594495986,757.9846802,0.0006454801187,
757.5612793,-0.004391589202,757.5612793,-0.004556637723,757.5612793,-0.004884651862,757.5612793,-0.004681419581,757.5612793,-0.004719933029,757.5612793,-0.004876973107,757.5612793,-0.004759211093,757.5612793,0.001110814279,
756.9966431,-0.004902312998,756.9966431,-0.004802121315,756.9966431,-0.005027149804,756.9966431,-0.004598338157,756.9966431,-0.004770886619,756.9966431,-0.004517802503,756.9966431,-0.004470508546,756.9966431,0.0006788462051,
756.4318848,-0.004752810113,756.4318848,-0.00496598985,756.4318848,-0.004855419975,756.4318848,-0.004593164194,756.4318848,-0.004937838297,756.4318848,-0.005259427242,756.4318848,-0.004868218675,756.4318848,0.0008402165258,
756.0082397,-0.00484349113,756.0082397,-0.004603102338,756.0082397,-0.004456468392,756.0082397,-0.005181060173,756.0082397,-0.00531594269,756.0082397,-0.004491875879,756.0082397,-0.004713736475,756.0082397,0.001207886613,
755.4432983,-0.004970852286,755.4432983,-0.004932975397,755.4432983,-0.005213902332,755.4432983,-0.00569729507,755.4432983,-0.005298093893,755.4432983,-0.00568973273,755.4432983,-0.005242087413,755.4432983,0.0007464158116,
755.0194702,-0.005113373045,755.0194702,-0.00519308215,755.0194702,-0.005335581023,755.0194702,-0.005395256914,755.0194702,-0.005554097239,755.0194702,-0.00495902868,755.0194702,-0.005069521256,755.0194702,0.0003373993095,
754.4543457,-0.005331540946,754.4543457,-0.005179218482,754.4543457,-0.005157731473,754.4543457,-0.005103139672,754.4543457,-0.005500935484,754.4543457,-0.005332512315,754.4543457,-0.005158703309,754.4543457,0.0002715769224,
754.0303955,-0.005412283819,754.0303955,-0.005321159028,754.0303955,-0.005293848924,754.0303955,-0.005168782081,754.0303955,-0.00521415798,754.0303955,-0.005316760857,754.0303955,-0.005522967782,754.0303955,0.0007556471392,
753.4650269,-0.00532294903,753.4650269,-0.005448380485,753.4650269,-0.005587166641,753.4650269,-0.005445363931,753.4650269,-0.005474147387,753.4650269,-0.00548728602,753.4650269,-0.005638631526,753.4650269,0.0006243003299,
753.0408936,-0.00546693895,753.0408936,-0.005353735294,753.0408936,-0.005741389934,753.0408936,-0.005824661814,753.0408936,-0.005665256176,753.0408936,-0.00554632768,753.0408936,-0.005711704493,753.0408936,0.000124607046,
752.4753418,-0.00538687082,752.4753418,-0.005392853636,752.4753418,-0.00553457113,752.4753418,-0.005369689781,752.4753418,-0.005848771892,752.4753418,-0.005650180858,752.4753418,-0.005767292809,752.4753418,-0.0003867194464,
752.0510864,-0.005478697363,752.0510864,-0.005721156951,752.0510864,-0.005913229194,752.0510864,-0.005833396688,752.0510864,-0.005506303161,752.0510864,-0.00559754204,752.0510864,-0.005739244167,752.0510864,-0.000527339289,
751.4852905,-0.005509881303,751.4852905,-0.005751352757,751.4852905,-0.005935496185,751.4852905,-0.005859038793,751.4852905,-0.006017914042,751.4852905,-0.005875639152,751.4852905,-0.005969404709,751.4852905,-0.0008588233031,
751.0609131,-0.005663109943,751.0609131,-0.006015565246,751.0609131,-0.006277320907,751.0609131,-0.005993200466,751.0609131,-0.006052939221,751.0609131,-0.006117672659,751.0609131,-0.0059576598,751.0609131,-0.0005770805874,
750.4949341,-0.006265328731,750.4949341,-0.005933657754,750.4949341,-0.006230320781,750.4949341,-0.006059474312,750.4949341,-0.005915221293,750.4949341,-0.006113946438,750.4949341,-0.006217714865,750.4949341,-0.0009837425314,
750.0703735,-0.00609393511,750.0703735,-0.006296813488,750.0703735,-0.005884730257,750.0703735,-0.006239914801,750.0703735,-0.006340592168,750.0703735,-0.00621812325,750.0703735,-0.006173974834,750.0703735,-0.001545280218,
