pp_mecn_1mM,,pp_mecn_500uM,,pp_mecn_250uM,,pp_mecn_125uM,,pp_mecn_62uM,,pp_mecn_31uM,,pp_mecn_15uM,,pp_mecn_7uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
788.9921875,-0.0005018459633,788.9921875,-0.0007082318189,788.9921875,-0.000950372254,788.9921875,-0.0007692188374,788.9921875,-0.000888273993,788.9921875,-0.0005206170608,788.9921875,-0.0009122980991,788.9921875,-0.0003483371693,
788.4342041,-0.0008645585622,788.4342041,-0.001301922835,788.4342041,-0.001999327214,788.4342041,-0.001913359738,788.4342041,-0.0009592574788,788.4342041,-0.001015870599,788.4342041,-0.001189073431,788.4342041,-0.000881608983,
788.015686,-0.001135787694,788.015686,-0.001350543345,788.015686,-0.001169556752,788.015686,-0.001609863713,788.015686,-0.001718220534,788.015686,-0.001376761007,788.015686,-0.001445755479,788.015686,-0.001213545562,
787.4574585,-0.0008872923208,787.4574585,-0.001420522458,787.4574585,-0.001373458072,787.4574585,-0.001347911078,787.4574585,-0.00138150889,787.4574585,-0.001540172962,787.4574585,-0.001054916997,787.4574585,-0.001844542567,
787.0387573,-0.001148128649,787.0387573,-0.00135085301,787.0387573,-0.001186130568,787.0387573,-0.001460306463,787.0387573,-0.001447922667,787.0387573,-0.0009319813689,787.0387573,-0.0018012363,787.0387573,-0.0008980387938,
786.4804077,-0.001589695341,786.4804077,-0.0008469907916,786.4804077,-0.001183290849,786.4804077,-0.001146321418,786.4804077,-0.0005246503861,786.4804077,-0.001591345994,786.4804077,-0.00106498797,786.4804077,-0.001102790586,
786.0615234,-0.0002667506342,786.0615234,-0.001467375318,786.0615234,-0.0007711827056,786.0615234,-0.001071701758,786.0615234,-0.0007199130487,786.0615234,-0.001180967432,786.0615234,-0.001207763329,786.0615234,-0.0006274366169,
785.5029297,-0.001286282553,785.5029297,-0.00162905117,785.5029297,-0.0006649154238,785.5029297,-0.001348169171,785.5029297,-0.001035497524,785.5029297,-0.001238377648,785.5029297,-0.001599908574,785.5029297,-0.0009241288062,
784.9441528,-0.001155615668,784.9441528,-0.001296038507,784.9441528,-0.001224438893,784.9441528,-0.001378205954,784.9441528,-0.001139298896,784.9441528,-0.001309097512,784.9441528,-0.000990044442,784.9441528,-0.0008164003957,
784.5250854,-0.001221186365,784.5250854,-0.001523251645,784.5250854,-0.00123770663,784.5250854,-0.001677841297,784.5250854,-0.001228878624,784.5250854,-0.001376864151,784.5250854,-0.001342027332,784.5250854,-0.001069067861,
783.9661255,-0.001257788041,783.9661255,-0.001472689793,783.9661255,-0.0007767124334,783.9661255,-0.00134749827,783.9661255,-0.001290721819,783.9661255,-0.001274616574,783.9661255,-0.001255981275,783.9661255,-0.001091429498,
783.546814,-0.001267957501,783.546814,-0.001351730316,783.546814,-0.001326182159,783.546814,-0.001128506847,783.546814,-0.0006148740067,783.546814,-0.0009290366434,783.546814,-0.001534446608,783.546814,-0.00079366297,
782.9876709,-0.001351678744,782.9876709,-0.001337640337,782.9876709,-0.001149316318,782.9876709,-0.00147036789,782.9876709,-0.000845853996,782.9876709,-0.001750036492,782.9876709,-0.001143326517,782.9876709,-0.00120972516,
782.5682373,-0.001199502731,782.5682373,-0.00160068227,782.5682373,-0.0008351579309,782.5682373,-0.001153292134,782.5682373,-0.0007812085096,782.5682373,-0.001519279089,782.5682373,-0.001420883695,782.5682373,-0.00100765808,
782.0089111,-0.001385740703,782.0089111,-0.001216333476,782.0089111,-0.001069429447,782.0089111,-0.00145220547,782.0089111,-0.0005488497554,782.0089111,-0.001295883558,782.0089111,-0.0009094049456,782.0089111,-0.001137439976,
781.4494019,-0.001039681141,781.4494019,-0.001155667356,781.4494019,-0.001358594513,781.4494019,-0.00115809415,781.4494019,-0.001007141545,781.4494019,-0.001712290221,781.4494019,-0.0007630688488,781.4494019,-0.001544661238,
781.0297241,-0.001194701181,781.0297241,-0.001210241462,781.0297241,-0.001201826031,781.0297241,-0.001848976128,781.0297241,-0.0007697356632,781.0297241,-0.001550284214,781.0297241,-0.001497145975,781.0297241,-0.001294077025,
780.4700317,-0.001161088934,780.4700317,-0.001268267282,780.4700317,-0.001690631034,780.4700317,-0.001423050999,780.4700317,-0.000699651544,780.4700317,-0.001516235177,780.4700317,-0.001074697124,780.4700317,-0.001404112438,
780.0501709,-0.001322259428,780.0501709,-0.001295883558,780.0501709,-0.001464589033,780.0501709,-0.001696510124,780.0501709,-0.001215455821,780.0501709,-0.001647257828,780.0501709,-0.00182912813,780.0501709,-0.001535220421,
779.4902954,-0.001907432103,779.4902954,-0.00175529602,779.4902954,-0.001626884914,779.4902954,-0.001681760768,779.4902954,-0.001346982084,779.4902954,-0.001834850642,779.4902954,-0.001406744239,779.4902954,-0.001427849988,
778.9302368,-0.001723583555,778.9302368,-0.001646690536,778.9302368,-0.001706205192,778.9302368,-0.00164565898,778.9302368,-0.001436673803,778.9302368,-0.001764938235,778.9302368,-0.001356117311,778.9302368,-0.002041325439,
778.5101929,-0.001490593422,778.5101929,-0.001860111137,778.5101929,-0.001904803328,778.5101929,-0.001958252629,778.5101929,-0.001832324429,778.5101929,-0.001576386741,778.5101929,-0.001730699674,778.5101929,-0.001731937286,
777.9499512,-0.001566740335,777.9499512,-0.001505813561,777.9499512,-0.001458706916,777.9499512,-0.002132110298,777.9499512,-0.001734257792,777.9499512,-0.001668816083,777.9499512,-0.0017056379,777.9499512,-0.00156565709,
777.5296631,-0.002017982071,777.5296631,-0.001598515897,777.5296631,-0.001518556848,777.5296631,-0.002399511635,777.5296631,-0.002009273274,777.5296631,-0.00198999932,777.5296631,-0.001820106059,777.5296631,-0.002030452713,
776.9692383,-0.002176671522,776.9692383,-0.001657882356,776.9692383,-0.001494256663,776.9692383,-0.001909339218,776.9692383,-0.001660203212,776.9692383,-0.001804329804,776.9692383,-0.002108772052,776.9692383,-0.001486620633,
776.5488281,-0.001385740703,776.5488281,-0.001804896863,776.5488281,-0.001704039285,776.5488281,-0.001967838733,776.5488281,-0.00191902963,776.5488281,-0.001845986,776.5488281,-0.001948614605,776.5488281,-0.001669125515,
775.9881592,-0.002145762555,775.9881592,-0.002244611969,775.9881592,-0.001723480411,775.9881592,-0.002099961741,775.9881592,-0.001870214939,775.9881592,-0.002387103159,775.9881592,-0.002236577217,775.9881592,-0.002208865946,
775.567627,-0.00142067729,775.567627,-0.001884597004,775.567627,-0.001818610937,775.567627,-0.002048951807,775.567627,-0.002051940421,775.567627,-0.002084350213,775.567627,-0.002030349569,775.567627,-0.001406279742,
775.0067749,-0.001856708783,775.0067749,-0.002102022525,775.0067749,-0.002083268249,775.0067749,-0.00214416557,775.0067749,-0.002138807671,775.0067749,-0.002439926611,775.0067749,-0.002164411126,775.0067749,-0.001631784835,
774.4458008,-0.001667217235,774.4458008,-0.002229520818,774.4458008,-0.001792368363,774.4458008,-0.001799070858,774.4458008,-0.002073426964,774.4458008,-0.002457069932,774.4458008,-0.002238637302,774.4458008,-0.001534395036,
774.0249634,-0.002160393167,774.0249634,-0.001703781425,774.0249634,-0.001821549609,774.0249634,-0.002317639999,774.0249634,-0.00210820511,774.0249634,-0.002220249502,774.0249634,-0.002052455675,774.0249634,-0.002395907417,
773.4638062,-0.001970621757,773.4638062,-0.002236216562,773.4638062,-0.001919802744,773.4638062,-0.00253304746,773.4638062,-0.002264440991,773.4638062,-0.002214120002,773.4638062,-0.002158023417,773.4638062,-0.001856554183,
773.0427856,-0.001863719663,773.0427856,-0.001671961974,773.0427856,-0.001998760272,773.0427856,-0.0017145077,773.0427856,-0.001494566211,773.0427856,-0.002034987323,773.0427856,-0.001846450032,773.0427856,-0.002368927468,
772.4814453,-0.0022791191,772.4814453,-0.002293745056,772.4814453,-0.002316610189,772.4814453,-0.002541128313,772.4814453,-0.002202375792,772.4814453,-0.002867427887,772.4814453,-0.002338598482,772.4814453,-0.002005665796,
772.0603027,-0.002095170086,772.0603027,-0.002239204012,772.0603027,-0.00197268324,772.0603027,-0.002120209392,772.0603027,-0.002330565359,772.0603027,-0.002079197904,772.0603027,-0.002594550839,772.0603027,-0.00247632293,
771.4986572,-0.002686249092,771.4986572,-0.002583743306,771.4986572,-0.002237504348,771.4986572,-0.002723705024,771.4986572,-0.002248062752,771.4986572,-0.002913507633,771.4986572,-0.002599491272,771.4986572,-0.002355848672,
770.9369507,-0.002672974253,770.9369507,-0.002191919135,770.9369507,-0.002245951211,770.9369507,-0.002061730484,770.9369507,-0.002470196923,770.9369507,-0.002586470917,770.9369507,-0.00238221162,770.9369507,-0.002474984387,
770.515564,-0.002649459057,770.515564,-0.001975724008,770.515564,-0.002086205175,770.515564,-0.002408573171,770.515564,-0.002842740156,770.515564,-0.002691291505,770.515564,-0.002772218082,770.515564,-0.00201447797,
769.9536743,-0.002417994896,769.9536743,-0.002412177157,769.9536743,-0.002352707554,769.9536743,-0.002483478282,769.9536743,-0.002303323708,769.9536743,-0.002851278055,769.9536743,-0.002924564062,769.9536743,-0.002591360128,
769.5321045,-0.002552657388,769.5321045,-0.002918290207,769.5321045,-0.002774995985,769.5321045,-0.003046063241,769.5321045,-0.002689490793,769.5321045,-0.00241011777,769.5321045,-0.002452642657,769.5321045,-0.002493052743,
768.9699707,-0.002501854906,768.9699707,-0.002546841512,768.9699707,-0.002748348052,768.9699707,-0.002736206865,768.9699707,-0.002706932602,768.9699707,-0.002824583557,768.9699707,-0.002927958034,768.9699707,-0.002486772602,
768.5483398,-0.002760077594,768.5483398,-0.002875708044,768.5483398,-0.002767536789,768.5483398,-0.002736515598,768.5483398,-0.00269597373,768.5483398,-0.003423917107,768.5483398,-0.003183974419,768.5483398,-0.002743975259,
767.9859619,-0.002262277761,767.9859619,-0.002897925442,767.9859619,-0.002878228202,767.9859619,-0.003166808747,767.9859619,-0.00278600445,767.9859619,-0.003051050007,767.9859619,-0.002839911263,767.9859619,-0.002994392999,
767.5641479,-0.002766302088,767.5641479,-0.002985086525,767.5641479,-0.003040922107,767.5641479,-0.00275483029,767.5641479,-0.002586831106,767.5641479,-0.00283553917,767.5641479,-0.002733943285,767.5641479,-0.003186287358,
767.0015869,-0.002623729641,767.0015869,-0.002998146228,767.0015869,-0.002716656774,767.0015869,-0.002652134746,767.0015869,-0.002597690094,767.0015869,-0.003073875094,767.0015869,-0.00307351537,767.0015869,-0.002619664185,
766.4389038,-0.002833996201,766.4389038,-0.002767125377,766.4389038,-0.00307269278,766.4389038,-0.002814604668,766.4389038,-0.002643284155,766.4389038,-0.002617091173,766.4389038,-0.003357804846,766.4389038,-0.002943847794,
766.0168457,-0.002960251179,766.0168457,-0.002717994386,766.0168457,-0.002801590832,766.0168457,-0.002852975391,766.0168457,-0.002765787765,766.0168457,-0.002753595589,766.0168457,-0.002848449163,766.0168457,-0.003250575857,
