pmppp_10uM,,pmppp_20uM,,pmppp_30uM,,pmppp_40uM,,pmppp_50uM,,pmppp_60uM,,pmppp_70uM,,pmppp_80uM,,pmppp_90uM,,pmppp_100uM,,pmppp_110uM,,pmppp_120uM,,pmppp_130uM,,pmppp_140uM,,pmppp_150uM,,pmppp_160uM,,pmppp_170uM,,pmppp_180uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
795.5391846,0.0007950901054,795.5391846,3.101249604E-5,795.5391846,0.001679073321,795.5391846,0.001211053575,795.5391846,-0.0007365556667,795.5391846,0.0007558805519,795.5391846,0.003262752434,795.5391846,0.002529994352,795.5391846,0.0004521266092,795.5391846,0.0003509224916,795.5391846,0.0004706806794,795.5391846,-4.478041592E-5,795.5391846,-0.0002508661128,795.5391846,0.0006377028185,795.5391846,0.002014997415,795.5391846,0.002483364195,795.5391846,-0.0005440409877,795.5391846,8.801238209E-7,
794.982605,0.001130798017,794.982605,-0.0002600761072,794.982605,0.001386800548,794.982605,0.0008299719193,794.982605,-3.10630503E-6,794.982605,0.0006860538269,794.982605,0.002499740105,794.982605,0.002376011573,794.982605,0.001073263003,794.982605,0.0006176381139,794.982605,6.505630881E-5,794.982605,-0.0001765581837,794.982605,-0.0002631805255,794.982605,9.723858238E-5,794.982605,0.00175438798,794.982605,0.002360967686,794.982605,-0.0001023410587,794.982605,0.0003021684533,
794.5651245,0.00108097028,794.5651245,0.0003419588029,794.5651245,0.001407108502,794.5651245,-2.008704723E-5,794.5651245,8.442234684E-5,794.5651245,0.0008654271369,794.5651245,0.002153659472,794.5651245,0.002184487879,794.5651245,0.0006227967679,794.5651245,-0.0003526825167,794.5651245,-9.629473425E-6,794.5651245,-0.0002294443693,794.5651245,0.0001277142583,794.5651245,0.0005426239804,794.5651245,0.002190836007,794.5651245,0.001499233767,794.5651245,-9.095377027E-5,794.5651245,-0.0004049265699,
794.0084229,0.0006351104239,794.0084229,-0.000539335655,794.0084229,0.001241347869,794.0084229,5.099835107E-5,794.0084229,-2.749002851E-5,794.0084229,0.000599336985,794.0084229,0.002302124398,794.0084229,0.002104598563,794.0084229,0.0006415914395,794.0084229,-8.655404963E-5,794.0084229,9.969830717E-5,794.0084229,-0.0005878864322,794.0084229,0.0001019250194,794.0084229,0.0007534949109,794.0084229,0.001737936167,794.0084229,0.001910620485,794.0084229,0.0002677175216,794.0084229,0.0001972958853,
793.4515381,2.298734762E-5,793.4515381,-0.0005047417944,793.4515381,0.001363922609,793.4515381,0.0001510708971,793.4515381,-0.0004499238566,793.4515381,0.001139829867,793.4515381,0.002733470639,793.4515381,0.001577427029,793.4515381,0.0005013121408,793.4515381,0.0001493877207,793.4515381,0.0007461305941,793.4515381,-0.0001293070527,793.4515381,7.095923502E-5,793.4515381,0.0006242225645,793.4515381,0.001702539506,793.4515381,0.0009634564049,793.4515381,-0.0002027950977,793.4515381,-0.0006382928696,
793.0338135,0.0009956015274,793.0338135,-0.000278495485,793.0338135,0.0009542984772,793.0338135,6.77747521E-5,793.0338135,0.0004034907615,793.0338135,0.001503467793,793.0338135,0.002526375232,793.0338135,0.001954146894,793.0338135,0.001016514027,793.0338135,0.0002580303117,793.0338135,3.963322524E-5,793.0338135,0.0001249436609,793.0338135,-0.0004993120674,793.0338135,0.000412170717,793.0338135,0.001649138285,793.0338135,0.001381762559,793.0338135,-1.33569547E-5,793.0338135,4.517336492E-5,
792.4767456,0.0006546574878,792.4767456,5.022168261E-5,792.4767456,0.0009002108709,792.4767456,0.0009669847786,792.4767456,-0.0003237127967,792.4767456,0.001682685455,792.4767456,0.002298819367,792.4767456,0.001553162234,792.4767456,0.000897487218,792.4767456,-0.0001563748665,792.4767456,-0.0007332995301,792.4767456,-4.415921649E-5,792.4767456,-0.0004374078417,792.4767456,-0.0004134091723,792.4767456,0.001519625075,792.4767456,0.001954718959,792.4767456,8.745160449E-5,792.4767456,-0.0001779554586,
792.0588379,0.0004503904493,792.0588379,-0.0001890299754,792.0588379,0.0007570474409,792.0588379,-0.0001799219754,792.0588379,-8.536353562E-5,792.0588379,0.0002417386713,792.0588379,0.00255730818,792.0588379,0.001750437426,792.0588379,0.0005171470111,792.0588379,-0.0002354984463,792.0588379,-0.0005001911777,792.0588379,-0.0005440409877,792.0588379,-0.0004644047294,792.0588379,8.455180068E-5,792.0588379,0.001482531894,792.0588379,0.001271410612,792.0588379,0.0007377810543,792.0588379,-0.0005595528637,
791.5015259,0.0007620521937,791.5015259,-0.0003291447647,791.5015259,0.0007736955304,791.5015259,-6.222540833E-5,791.5015259,0.0003482541069,791.5015259,0.0007890994893,791.5015259,0.001837930293,791.5015259,0.001503259991,791.5015259,0.0005930121406,791.5015259,-0.0003741498804,791.5015259,-0.0002111264039,791.5015259,-3.10630503E-6,791.5015259,-0.0007424993091,791.5015259,0.0006378584076,791.5015259,0.00108543376,791.5015259,0.001482298132,791.5015259,-0.0003682529205,791.5015259,0.00010311605,
790.9440918,0.0004001742927,790.9440918,-0.0008034298662,790.9440918,0.0004479546624,790.9440918,-0.0002541775757,790.9440918,-0.0006656391197,790.9440918,0.0002470223699,790.9440918,0.002248701407,790.9440918,0.001612034044,790.9440918,0.0002127053158,790.9440918,-0.000385426305,790.9440918,0.0002024236746,790.9440918,-0.0003690805752,790.9440918,-0.0004012541904,790.9440918,-0.0001591177861,790.9440918,0.001408666722,790.9440918,0.001340708346,790.9440918,0.0002579785069,790.9440918,-0.0005634824629,
