pmpp_10uM,,pmpp_20uM,,pmpp_30uM,,pmpp_40uM,,pmpp_50uM,,pmpp_60uM,,pmpp_70uM,,pmpp_80uM,,pmpp_90uM,,pmpp_100uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
790.9440918,-0.0005177729763,790.9440918,-0.000173401364,790.9440918,0.000531945785,790.9440918,0.0001178489183,790.9440918,0.001371193561,790.9440918,-0.0002704241488,790.9440918,1.796523429E-5,790.9440918,0.0003899400181,790.9440918,0.0004316299746,790.9440918,7.787197683E-5,
790.5259399,9.120584582E-5,790.5259399,-3.220095095E-5,790.5259399,0.0007689499762,790.5259399,-0.0003887884959,790.5259399,0.001660493552,790.5259399,-0.001226607128,790.5259399,-0.0001555985655,790.5259399,0.001095918007,790.5259399,5.138668712E-5,790.5259399,-0.0004506479017,
789.9683228,-0.0008315408486,789.9683228,0.0002833884791,789.9683228,-0.0001840102486,789.9683228,-0.0004640944535,789.9683228,0.0008474786882,789.9683228,-0.0004018748587,789.9683228,-0.0004531820887,789.9683228,0.001206355053,789.9683228,-3.453050886E-5,789.9683228,-0.0002670610556,
789.5500488,-0.0001966888085,789.5500488,-6.693595788E-5,789.5500488,9.886976477E-5,789.5500488,-0.0002627148642,789.5500488,0.0007262941799,789.5500488,-0.0009103348712,789.5500488,-0.0001742293825,789.5500488,0.0003041630844,789.5500488,0.0001188328533,789.5500488,-0.000240776295,
788.9921875,2.896736441E-5,788.9921875,-0.000162999233,788.9921875,-0.0003318865784,788.9921875,-0.0003927196085,788.9921875,0.001043188036,788.9921875,-0.0008556197281,788.9921875,9.063623293E-5,788.9921875,0.0007317134878,788.9921875,-0.0001388818928,788.9921875,-0.0005867489963,
788.4342041,-0.0008577381959,788.4342041,-0.0007909240667,788.4342041,-0.0005798208877,788.4342041,-0.001542442944,788.4342041,0.0003467774077,788.4342041,-0.001745086396,788.4342041,-0.00115716469,788.4342041,-0.0001180239778,788.4342041,-0.0004075127363,788.4342041,-0.001535839518,
788.015686,-0.001342336996,788.015686,-0.001349562663,788.015686,-0.0004691626527,788.015686,-0.001725079026,788.015686,0.0003276069183,788.015686,-0.001541978563,788.015686,-0.001146786148,788.015686,-0.0005450234166,788.015686,-0.0005525209126,788.015686,-0.001053884043,
787.4574585,-0.001042160206,787.4574585,-0.001108884113,787.4574585,-0.0007805883652,787.4574585,-0.001023204997,787.4574585,0.0009293421172,787.4574585,-0.001912895823,787.4574585,-0.001270177192,787.4574585,-0.0003338006791,787.4574585,-0.0005580534344,787.4574585,-0.0009883397724,
787.0387573,-0.001405092888,787.0387573,-0.001327885431,787.0387573,-0.001137956395,787.0387573,-0.001634363667,787.0387573,-0.0001041008873,787.0387573,-0.001739414292,787.0387573,-0.001586394035,787.0387573,-0.0004285636533,787.0387573,-0.001072373125,787.0387573,-0.0008900822722,
786.4804077,-0.001118902117,786.4804077,-0.0002644740453,786.4804077,-0.0002121095895,786.4804077,-0.001018711482,786.4804077,0.0006313255872,786.4804077,-0.00106932607,786.4804077,-0.0003380944254,786.4804077,-0.0001354142732,786.4804077,-9.913194663E-5,786.4804077,-0.0008365014219,
786.0615234,-0.0008227563812,786.0615234,-0.0005619830335,786.0615234,-8.686462388E-5,786.0615234,-0.0009813148063,786.0615234,0.001050479477,786.0615234,-0.001125821611,786.0615234,-0.0005068620085,786.0615234,0.0005113676307,786.0615234,-5.922305718E-5,786.0615234,-0.0004667319881,
785.5029297,-0.0006657942431,785.5029297,-0.0008176406263,785.5029297,-0.0007263737498,785.5029297,-0.0007572288741,785.5029297,0.0003837477707,785.5029297,-0.001212358125,785.5029297,-0.0009955713758,785.5029297,0.0002051170741,785.5029297,4.651957715E-5,785.5029297,-0.000927951769,
784.9441528,-0.0008585649193,784.9441528,-0.0007454969455,784.9441528,-0.0006671898882,784.9441528,-0.001118334127,784.9441528,0.0004748269275,784.9441528,-0.001399932429,784.9441528,-0.0006541114999,784.9441528,-3.520477321E-6,784.9441528,9.511546523E-5,784.9441528,-0.001217779005,
784.5250854,-0.0005835434422,784.5250854,-0.0006736514042,784.5250854,-0.0001372774714,784.5250854,-0.0009996002773,784.5250854,-8.801220588E-7,784.5250854,-0.001543526305,784.5250854,-0.001348169171,784.5250854,-0.00043523559,784.5250854,0.0002648424124,784.5250854,-0.001033534878,
783.9661255,-0.0009390588384,783.9661255,-0.0003650457656,783.9661255,-0.0005074825604,783.9661255,-0.0007336096605,783.9661255,0.0008141775033,783.9661255,-0.001355601125,783.9661255,-0.001273842296,783.9661255,8.789175627E-5,783.9661255,0.0001030383792,783.9661255,-0.0009197891923,
783.546814,-0.0008501943666,783.546814,-0.0007437914028,783.546814,-0.0001388818928,783.546814,-0.001502718078,783.546814,0.001051024417,783.546814,-0.0009719650843,783.546814,-0.00181783759,783.546814,-0.000250193465,783.546814,0.0004890800337,783.546814,-0.0007919059135,
782.9876709,-0.001058790484,782.9876709,-0.0008831589948,782.9876709,-0.0005411453894,782.9876709,-0.001241475111,782.9876709,0.0001366476354,782.9876709,-0.001798400655,782.9876709,-0.001134909806,782.9876709,2.725878039E-5,782.9876709,0.0003434613755,782.9876709,-0.000847662508,
782.5682373,-0.001257375116,782.5682373,-0.001049390878,782.5682373,-0.0005801310763,782.5682373,-0.000983690843,782.5682373,0.0004808650119,782.5682373,-0.0009134863503,782.5682373,-0.00105925533,782.5682373,-0.0001168335439,782.5682373,0.0008312946302,782.5682373,-0.0008923555724,
782.0089111,-0.001118024229,782.0089111,-0.0005357160699,782.0089111,-0.0007277692785,782.0089111,-0.0009657146293,782.0089111,-5.068176688E-5,782.0089111,-0.001366542419,782.0089111,-0.001913101994,782.0089111,-8.888331649E-5,782.0089111,0.000923271873,782.0089111,-0.0009955196874,
781.4494019,-0.001221238053,781.4494019,-0.001001873054,781.4494019,-0.0004522511736,781.4494019,-0.002107123379,781.4494019,-3.354691944E-5,781.4494019,-0.00143130729,781.4494019,-0.001122723334,781.4494019,-0.00107805396,781.4494019,0.001976093743,781.4494019,-0.0009846206522,
781.0297241,-0.001041230513,781.0297241,-0.001359420363,781.0297241,-0.0004618706298,781.0297241,-0.001079241745,781.0297241,0.0001508637361,781.0297241,-0.002109647729,781.0297241,-0.001040559146,781.0297241,-0.0003708910663,781.0297241,0.001989823999,781.0297241,-0.001202342333,
780.4700317,-0.001232440816,780.4700317,-0.0008738072356,780.4700317,-0.0007621385739,780.4700317,-0.001254742383,780.4700317,-0.0001149702512,780.4700317,-0.0008319542394,780.4700317,-0.00138150889,780.4700317,-0.0006253686734,780.4700317,0.002008183859,780.4700317,-0.001601559226,
780.0501709,-0.002073169453,780.0501709,-0.0007316456176,780.0501709,-0.0004039438209,780.0501709,-0.00139069499,780.0501709,0.0001259276032,780.0501709,-0.00131214282,780.0501709,-0.00162843219,780.0501709,-0.0005891789915,780.0501709,0.002526062774,780.0501709,-0.001170176314,
779.4902954,-0.001473618555,779.4902954,-0.001643183292,779.4902954,-0.0009633384179,779.4902954,-0.001359523507,779.4902954,-0.0001686402247,779.4902954,-0.0016615442,779.4902954,-0.0009382839198,779.4902954,0.0001305625628,779.4902954,0.002094116062,779.4902954,-0.001282875775,
778.9302368,-0.0014094793,778.9302368,-0.001278126729,778.9302368,-0.0009220623178,778.9302368,-0.001467942842,778.9302368,0.0001850464323,778.9302368,-0.001697593019,778.9302368,-0.001626265934,778.9302368,-6.155246956E-5,778.9302368,0.00238085282,778.9302368,-0.001196353347,
778.5101929,-0.001854492119,778.5101929,-0.001172603108,778.5101929,-0.0009228889248,778.5101929,-0.001488993992,778.5101929,-0.0001645518059,778.5101929,-0.001670363243,778.5101929,-0.001599908574,778.5101929,-0.0003632870212,778.5101929,0.0009907498024,778.5101929,-0.001280811033,
777.9499512,-0.001597432652,777.9499512,-0.001021810458,777.9499512,-0.001468458795,777.9499512,-0.001864286722,777.9499512,-0.0001087592173,777.9499512,-0.001739569008,777.9499512,-0.001467942842,777.9499512,-0.000354130927,777.9499512,0.001044874662,777.9499512,-0.001295780414,
777.5296631,-0.001201619511,777.5296631,-0.001308529754,777.5296631,-0.00101788505,777.5296631,-0.001546518411,777.5296631,-0.0002487446764,777.5296631,-0.001911710366,777.5296631,-0.001051869825,777.5296631,-0.000988959684,777.5296631,0.0002527982579,777.5296631,-0.001350801322,
776.9692383,-0.001430017292,776.9692383,-0.001165839145,776.9692383,-0.0009344093851,776.9692383,-0.001720077009,776.9692383,-0.0003180220956,776.9692383,-0.001365871518,776.9692383,-0.001492812065,776.9692383,-0.00108032627,776.9692383,-0.000324385328,776.9692383,-0.001840933925,
776.5488281,-0.002368721412,776.5488281,-0.001403906033,776.5488281,-0.001471141935,776.5488281,-0.001801597187,776.5488281,-0.0001734531106,776.5488281,-0.00233550882,776.5488281,-0.00124668912,776.5488281,-0.0004163573612,776.5488281,0.0001580108074,776.5488281,-0.001574529684,
775.9881592,-0.001529597212,775.9881592,-0.001237138757,775.9881592,-0.001090241713,775.9881592,-0.001773394295,775.9881592,-0.0005254260614,775.9881592,-0.001150142401,775.9881592,-0.002048127353,775.9881592,-0.0006108414964,775.9881592,0.0004703956074,775.9881592,-0.001350698178,
775.567627,-0.001594028203,775.567627,-0.00171105261,775.567627,-0.001253555063,775.567627,-0.002110781148,775.567627,-0.0006478565047,775.567627,-0.001915060682,775.567627,-0.001944491407,775.567627,-0.0008265802171,775.567627,-0.0003515444405,775.567627,-0.00175436784,
775.0067749,-0.00139446219,775.0067749,-0.001532692579,775.0067749,-0.001385998679,775.0067749,-0.001845109626,775.0067749,0.0002931021736,775.0067749,-0.001827169093,775.0067749,-0.001738125109,775.0067749,-0.0008821773226,775.0067749,-0.0001337580907,775.0067749,-0.002103877487,
774.4458008,-0.001958046341,774.4458008,-0.001530474285,774.4458008,-0.00154084363,774.4458008,-0.001267286483,774.4458008,8.242874173E-5,774.4458008,-0.00214498979,774.4458008,-0.002107586944,774.4458008,-0.000743429584,774.4458008,-0.0007400184986,774.4458008,-0.001807526336,
