ppp_1mM,,ppp_500uM,,ppp_250uM,,ppp_125uM,,ppp_62uM,,ppp_31uM,,ppp_15uM,,ppp_7uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
788.9921875,0.0005277989549,788.9921875,-0.0008742722566,788.9921875,0.0003290835302,788.9921875,-0.0004527683486,788.9921875,-0.001043967903,788.9921875,-0.000620560837,788.9921875,-0.0005321999197,788.9921875,-0.000166570142,
788.4342041,-0.0005317862378,788.4342041,-0.001653292216,788.4342041,-0.0003680460213,788.4342041,-0.001005075406,788.4342041,-0.001307394239,788.4342041,-0.001468820032,788.4342041,-0.001388321049,788.4342041,-0.001599392737,
788.015686,-0.0006201472133,788.015686,-0.001092100749,788.015686,-0.0003629249113,788.015686,-0.00104758318,788.015686,-0.0009465495241,788.015686,-0.001583092613,788.015686,-0.001466085319,788.015686,-0.001084406045,
787.4574585,-0.0008503493736,787.4574585,-0.001383366762,787.4574585,-0.0006796476082,787.4574585,-0.001661905204,787.4574585,-0.0005899028038,787.4574585,-0.0007647743332,787.4574585,-0.001082030474,787.4574585,-0.00173910486,
787.0387573,-0.0006896238774,787.0387573,-0.001333098393,787.0387573,-0.0005840605008,787.0387573,-0.001175184734,787.0387573,-0.0009416418616,787.0387573,-0.00147047115,787.0387573,-0.001374541782,787.0387573,-0.0007450834964,
786.4804077,-0.0007592444308,786.4804077,-0.0009952097898,786.4804077,0.0003171671124,786.4804077,-0.001265995903,786.4804077,-0.0009432432707,786.4804077,-0.0008091658819,786.4804077,-0.0009394204826,786.4804077,-0.000598795421,
786.0615234,-0.001032140339,786.0615234,-0.0006664145039,786.0615234,0.0001870146079,786.0615234,-0.0008799556526,786.0615234,-0.001222322113,786.0615234,-0.00105558848,786.0615234,-0.0006893654354,786.0615234,-0.000730353524,
785.5029297,-0.000586387061,785.5029297,-0.0006497692084,785.5029297,-0.0006245932309,785.5029297,-0.0008452855982,785.5029297,-0.001336040325,785.5029297,-0.0008906506118,785.5029297,-0.0006023627357,785.5029297,-0.0008910639444,
784.9441528,-0.0004803331685,784.9441528,-0.001285818056,784.9441528,-0.0004199779069,784.9441528,-0.0007018224569,784.9441528,-0.001135736005,784.9441528,-0.001252419315,784.9441528,-0.0002066761517,784.9441528,-0.001208744245,
784.5250854,-0.0005227371585,784.5250854,-0.0006701880484,784.5250854,-0.000735005131,784.5250854,-0.001226813649,784.5250854,-0.001556835836,784.5250854,-0.001208847505,784.5250854,-0.0009297082433,784.5250854,-0.0008392400341,
783.9661255,-0.0009959845338,783.9661255,-0.001104856143,783.9661255,-0.0003812364885,783.9661255,-0.0009273318574,783.9661255,-0.001087762881,783.9661255,-0.001283340272,783.9661255,-0.0009718617657,783.9661255,-0.001354517299,
783.546814,-0.0006551453844,783.546814,-0.001431978075,783.546814,-0.0009406603058,783.546814,-0.001160159474,783.546814,-0.0008824873366,783.546814,-0.001123911003,783.546814,-0.0009887530468,783.546814,-0.0008100960404,
782.9876709,-0.001177662984,782.9876709,-0.0007219804684,782.9876709,-0.0007937146584,782.9876709,-0.001401377376,782.9876709,-0.00127342937,782.9876709,-0.001353123807,782.9876709,-0.001705225324,782.9876709,-0.001528307446,
782.5682373,-0.0009198408807,782.5682373,-0.001476043602,782.5682373,-0.001123549533,782.5682373,-0.001146424678,782.5682373,-0.001221599407,782.5682373,-0.0009242838132,782.5682373,-0.001308684587,782.5682373,-0.001569474349,
782.0089111,-0.00104587886,782.0089111,-0.001280552824,782.0089111,-0.0009226822876,782.0089111,-0.001513965195,782.0089111,-0.001226400607,782.0089111,-0.001114822691,782.0089111,-0.001532176742,782.0089111,-0.001468252507,
781.4494019,-0.001311678323,781.4494019,-0.002118663862,781.4494019,-0.00148610468,781.4494019,-0.001449419069,781.4494019,-0.001218398567,781.4494019,-0.001152156154,781.4494019,-0.001226400607,781.4494019,-0.0007340747979,
781.0297241,-0.001571950503,781.0297241,-0.001675365842,781.0297241,-0.001729616779,781.0297241,-0.001503337175,781.0297241,-0.001277662232,781.0297241,-0.001313949469,781.0297241,-0.001394255785,781.0297241,-0.00149657845,
780.4700317,-0.001643286436,780.4700317,-0.001601559226,780.4700317,-0.001674850122,780.4700317,-0.00123171811,780.4700317,-0.00146495027,780.4700317,-0.001600011718,780.4700317,-0.001853306429,780.4700317,-0.001526037464,
780.0501709,-0.001669125515,780.0501709,-0.001538625336,780.0501709,-0.001503853127,780.0501709,-0.001734051504,780.0501709,-0.001296503004,780.0501709,-0.001470316318,780.0501709,-0.001691765618,780.0501709,-0.00104154041,
779.4902954,-0.002033132361,779.4902954,-0.001255981275,779.4902954,-0.001933719264,779.4902954,-0.001119831577,779.4902954,-0.001374696614,779.4902954,-0.001361381495,779.4902954,-0.001570867142,779.4902954,-0.001529648784,
778.9302368,-0.001827787724,778.9302368,-0.002036997117,778.9302368,-0.001645504264,778.9302368,-0.001380631584,778.9302368,-0.00157179567,778.9302368,-0.001674385974,778.9302368,-0.001491109375,778.9302368,-0.001708628843,
778.5101929,-0.001345898258,778.5101929,-0.001181070693,778.5101929,-0.001608728897,778.5101929,-0.001809021458,778.5101929,-0.00157153781,778.5101929,-0.001609193161,778.5101929,-0.00206106063,778.5101929,-0.001870575827,
777.9499512,-0.001938512665,777.9499512,-0.001801958075,777.9499512,-0.001749520889,777.9499512,-0.002016333165,777.9499512,-0.001989380922,777.9499512,-0.001498642145,777.9499512,-0.001160520944,777.9499512,-0.001390436897,
777.5296631,-0.002015354112,777.5296631,-0.001009517582,777.5296631,-0.001886865124,777.5296631,-0.001996338135,777.5296631,-0.001710072858,777.5296631,-0.001583505305,777.5296631,-0.001715178019,777.5296631,-0.001498951693,
776.9692383,-0.0009817796526,776.9692383,-0.001335678971,776.9692383,-0.002446361817,776.9692383,-0.001836036332,776.9692383,-0.001732968609,776.9692383,-0.001185097964,776.9692383,-0.002190219238,776.9692383,-0.001952995546,
776.5488281,-0.002128864639,776.5488281,-0.00180778408,776.5488281,-0.001892844564,776.5488281,-0.001681967056,776.5488281,-0.002153489972,776.5488281,-0.001950727776,776.5488281,-0.001637406764,776.5488281,-0.001969951671,
775.9881592,-0.002066831803,775.9881592,-0.001763752312,775.9881592,-0.001864647609,775.9881592,-0.001941708266,775.9881592,-0.002188828541,775.9881592,-0.002171159489,775.9881592,-0.001904545585,775.9881592,-0.002012880519,
775.567627,-0.001724305446,775.567627,-0.001705534756,775.567627,-0.001589488937,775.567627,-0.002022053115,775.567627,-0.002265213523,775.567627,-0.00174792239,775.567627,-0.0019048549,775.567627,-0.001644575852,
775.0067749,-0.002080485923,775.0067749,-0.002140765311,775.0067749,-0.001736681326,775.0067749,-0.002016178565,775.0067749,-0.001665876363,775.0067749,-0.002046066104,775.0067749,-0.001474908437,775.0067749,-0.002108978108,
774.4458008,-0.002107741544,774.4458008,-0.002195370384,774.4458008,-0.002447751816,774.4458008,-0.001510095783,774.4458008,-0.00220541493,774.4458008,-0.001927018748,774.4458008,-0.001961654052,774.4458008,-0.001983815106,
774.0249634,-0.002095891396,774.0249634,-0.001754316268,774.0249634,-0.002103465144,774.0249634,-0.002270003315,774.0249634,-0.002173838206,774.0249634,-0.001763906912,774.0249634,-0.002382778097,774.0249634,-0.002294929465,
773.4638062,-0.002110111527,773.4638062,-0.001763855456,773.4638062,-0.002252389211,773.4638062,-0.00169078575,773.4638062,-0.001667114091,773.4638062,-0.001937069464,773.4638062,-0.001789429458,773.4638062,-0.001997574931,
773.0427856,-0.002076827688,773.0427856,-0.002146020066,773.0427856,-0.002511429135,773.0427856,-0.002171674743,773.0427856,-0.001400964451,773.0427856,-0.002106608124,773.0427856,-0.0016555615,773.0427856,-0.001937687979,
772.4814453,-0.00150612311,772.4814453,-0.002061112318,772.4814453,-0.001999945613,772.4814453,-0.002092696959,772.4814453,-0.002179298783,772.4814453,-0.001837737625,772.4814453,-0.002336023841,772.4814453,-0.001965158619,
772.0603027,-0.002233898733,772.0603027,-0.002224266995,772.0603027,-0.002064049244,772.0603027,-0.002040398074,772.0603027,-0.001714198268,772.0603027,-0.001810052549,772.0603027,-0.002222979441,772.0603027,-0.00165009452,
771.4986572,-0.00189408171,771.4986572,-0.001749933464,771.4986572,-0.001940935152,771.4986572,-0.001705689472,771.4986572,-0.001508135232,771.4986572,-0.002408727538,771.4986572,-0.002086926484,771.4986572,-0.002061472973,
770.9369507,-0.00193804875,770.9369507,-0.002422422636,770.9369507,-0.001942687435,770.9369507,-0.002144268481,770.9369507,-0.002007160336,770.9369507,-0.001847945037,770.9369507,-0.00252954755,770.9369507,-0.001902019838,
770.515564,-0.002239306923,770.515564,-0.001838768716,770.515564,-0.001724357018,770.515564,-0.001277404022,770.515564,-0.002048900118,770.515564,-0.001980671426,770.515564,-0.002196143148,770.515564,-0.002261865884,
769.9536743,-0.001798813115,769.9536743,-0.001822735299,769.9536743,-0.001872277004,769.9536743,-0.001547911204,769.9536743,-0.001893050852,769.9536743,-0.002079712925,769.9536743,-0.001667475211,769.9536743,-0.001991597004,
769.5321045,-0.002104341052,769.5321045,-0.002243427327,769.5321045,-0.002310430398,769.5321045,-0.001426508301,769.5321045,-0.00161656912,769.5321045,-0.002383292885,769.5321045,-0.002629801864,769.5321045,-0.002146020066,
768.9699707,-0.002155344468,768.9699707,-0.002373355441,768.9699707,-0.002168274717,768.9699707,-0.002093109302,768.9699707,-0.002159517258,768.9699707,-0.002292612102,768.9699707,-0.001954850974,768.9699707,-0.002132780151,
768.5483398,-0.002279222012,768.5483398,-0.00188305066,768.5483398,-0.002057814505,768.5483398,-0.002063173335,768.5483398,-0.002254758263,768.5483398,-0.002477918752,768.5483398,-0.002343490487,768.5483398,-0.002445435151,
767.9859619,-0.002118354663,767.9859619,-0.001936708693,767.9859619,-0.002513333689,767.9859619,-0.001926245634,767.9859619,-0.002237040782,767.9859619,-0.00170641148,767.9859619,-0.002190064639,767.9859619,-0.001698418171,
