pp_1mM,,pp_500uM,,pp_250uM,,pp_125uM,,pp_62uM,,pp_31uM,,pp_15uM,,pp_7uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
788.9921875,-0.0003735291539,788.9921875,-0.0004996223142,788.9921875,-0.0003469921649,788.9921875,-0.0004153746413,788.9921875,-8.929741307E-5,788.9921875,-0.0002257187443,788.9921875,5.15679094E-5,788.9921875,-0.0007117982022,
788.4342041,-0.001100363443,788.4342041,-0.0008283887873,788.4342041,-0.0008423403488,788.4342041,-0.001000633347,788.4342041,-0.0007570738089,788.4342041,-0.0009394204826,788.4342041,-0.001260730554,788.4342041,-0.001089467085,
788.015686,-0.0006340020918,788.015686,-0.001032605185,788.015686,-0.0003863573656,788.015686,-0.001125098672,788.015686,-0.0007121600211,788.015686,-0.001019641175,788.015686,-0.0004523546086,788.015686,-0.0004420108744,
787.4574585,-0.0009891146328,787.4574585,-0.001118592336,787.4574585,-0.001261917874,787.4574585,-0.00132685306,787.4574585,-0.0001068958954,787.4574585,-0.0002128857886,787.4574585,-0.0007526808186,787.4574585,-0.001054038992,
787.0387573,-0.001276371651,787.0387573,-0.001313846209,787.0387573,-0.0006917948485,787.0387573,-0.000976045907,787.0387573,-0.0004135643539,787.0387573,-0.001043812954,787.0387573,-0.0007308186614,787.0387573,-0.001888153842,
786.4804077,-0.0005013805348,786.4804077,-0.0007555233315,786.4804077,-0.0006571097765,786.4804077,-0.0008681237232,786.4804077,-0.0003504063934,786.4804077,-0.0006466158084,786.4804077,-0.0008566014585,786.4804077,-0.0006566962111,
786.0615234,-0.000966747757,786.0615234,-0.0007446699892,786.0615234,-0.0008190874942,786.0615234,-0.001115080784,786.0615234,-4.105320477E-5,786.0615234,-0.0003137281456,786.0615234,-0.0005366468104,786.0615234,-0.0007881334168,
785.5029297,-0.0007970736478,785.5029297,-0.0005186520866,785.5029297,-0.0006857988192,785.5029297,-0.001089518657,785.5029297,-0.0001815262367,785.5029297,-0.0002723385114,785.5029297,-0.0005802861997,785.5029297,-7.237113459E-5,
784.9441528,-0.000451578846,784.9441528,-0.0006545767537,784.9441528,-0.0008376898477,784.9441528,-0.0005815270706,784.9441528,-0.0002965519379,784.9441528,-0.0006473395624,784.9441528,-0.0006960850442,784.9441528,-0.000870603777,
784.5250854,-0.001107386546,784.5250854,-0.0008725155494,784.5250854,-0.0006103761843,784.5250854,-0.0009148295503,784.5250854,-0.0005453854101,784.5250854,-0.0004782645847,784.5250854,-0.001084715943,784.5250854,-0.0008976254612,
783.9661255,-0.0006225253455,783.9661255,-0.000810612808,783.9661255,-0.0007521639927,783.9661255,-0.0006984110223,783.9661255,-0.0006017940468,783.9661255,-0.0002838245418,783.9661255,-0.0005701006157,783.9661255,-0.0007846193039,
783.546814,-0.001022791839,783.546814,-0.001355136628,783.546814,-0.001549304114,783.546814,-0.001132792677,783.546814,-0.0003721325193,783.546814,-0.001098659239,783.546814,-0.0003980472684,783.546814,-0.0007091104635,
782.9876709,-0.001222941675,782.9876709,-0.001079706592,782.9876709,-0.001708371099,782.9876709,-0.001518402016,782.9876709,-0.000108500426,782.9876709,-0.001046033809,782.9876709,-0.001055536792,782.9876709,-0.001635292079,
782.5682373,-0.001176217338,782.5682373,-0.0009662828525,782.5682373,-0.001487755799,782.5682373,-0.0008518995019,782.5682373,-0.001067518606,782.5682373,-0.0007123667747,782.5682373,-0.001285869628,782.5682373,-0.001076556277,
782.0089111,-0.001303264871,782.0089111,-0.0009117297595,782.0089111,-0.0009965010686,782.0089111,-0.001527946326,782.0089111,-0.0006044307374,782.0089111,-0.0006203023368,782.0089111,-0.001054865425,782.0089111,-0.001295367372,
781.4494019,-0.0009197375621,781.4494019,-0.001816857955,781.4494019,-0.001307549071,781.4494019,-0.0006814051303,781.4494019,-0.000581578759,781.4494019,-0.001314465539,781.4494019,-0.001603055047,781.4494019,-0.001348840073,
781.0297241,-0.001232544077,781.0297241,-0.001351369079,781.0297241,-0.001240752405,781.0297241,-0.001263827784,781.0297241,-0.000464146171,781.0297241,-0.001171157346,781.0297241,-0.001257736469,781.0297241,-0.001119263587,
780.4700317,-0.00145710737,780.4700317,-0.001463557128,780.4700317,-0.001526553417,780.4700317,-0.001305484329,780.4700317,-0.001013391418,780.4700317,-0.00108321826,780.4700317,-0.001138059655,780.4700317,-0.001644833828,
780.0501709,-0.00114890316,780.0501709,-0.001257891301,780.0501709,-0.00139167544,780.0501709,-0.001488323323,780.0501709,-0.0006296078791,780.0501709,-0.001097264932,780.0501709,-0.0007643608842,780.0501709,-0.001318749622,
779.4902954,-0.001298980671,779.4902954,-0.001093856641,779.4902954,-0.0007227557362,779.4902954,-0.001436260995,779.4902954,-0.0009542983025,779.4902954,-0.001074748812,779.4902954,-0.0008559814305,779.4902954,-0.001357510802,
